row_idx_in_train,smiles,solvent,empeakwavs_max
15,CCC1=NC2=C(C3=CC=C(N(CCCC)CCCC)C=C3)C4=C(N=C(CC)O4)C(C5=CC=C(N(CCCC)CCCC)C=C5)=C2O1,C1CCOC1,440.0
19,CCCCCCCCC(CCCCCCCC)N(C1=C2C=CC=C1)C3=C2C=CC(C4=C5C(N=C(C6=CC=CC=C6)O5)=C(C7=CC(N(C(CCCCCCCC)CCCCCCCC)C8=C9C=CC=C8)=C9C=C7)C%10=C4N=C(C%11=CC=CC=C%11)O%10)=C3,ClC(Cl)Cl,473.0
27,CC1=NC2=C(C#CC3=CC=C(OCCC(C)CCCC(C)C)C=C3)C(OC(C)=N4)=C4C(C#CC5=CC=C(OCCC(C)CCCC(C)C)C=C5)=C2O1,C1CCOC1,397.0
26,CCCCCCC(S1)=CC=C1C2=C3C(N=C(C4=CC=C(C5=CC=C(CCCCCC)O5)O4)O3)=C(C6=CC=C(CCCCCC)S6)C7=C2N=C(C8=CC=C(C9=CC=C(CCCCCC)O9)O8)O7,ClC(Cl)Cl,471.0
8,CCCCCCCCC(CCCCCCCC)N(C1=C2C=CC=C1)C3=C2C=CC(C4=C5C(N=C(C6=C(F)C(F)=C(F)C(F)=C6F)O5)=C(C7=CC(N(C(CCCCCCCC)CCCCCCCC)C8=C9C=CC=C8)=C9C=C7)C%10=C4N=C(C%11=C(F)C(F)=C(F)C(F)=C%11F)O%10)=C3,ClC(Cl)Cl,535.0
24,CCCCCCC(S1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C5=CC=C(CCCCCC)S5)S4)=C(N=C(C6=CC=C(CCCCCC)S6)O7)C7=C3C8=CC=C(C9=CC=C(CCCCCC)S9)S8,ClC(Cl)Cl,515.0
21,CCC1=NC2=C(C3=CC(C4=CC=C(C(C)(C)C)C=C4)=CC(C5=CC=C(C(C)(C)C)C=C5)=C3)C6=C(N=C(CC)O6)C(C7=CC(C8=CC=C(C(C)(C)C)C=C8)=CC(C9=CC=C(C(C)(C)C)C=C9)=C7)=C2O1,ClC(Cl)Cl,431.0
12,CCCCCCCCCCCCC(S1)=CC=C1C2=C(N=C(C3=CC=C(CCCCCCCCCCCC)S3)O4)C4=C(C5=CC=C(CCCCCCCCCCCC)S5)C6=C2OC(C7=CC=C(CCCCCCCCCCCC)S7)=N6,C1CCOC1,448.0
32,CCCCCCC(S1)=CC=C1C(S2)=CC=C2C(O3)=NC4=C3C(C5=CC=C(C6=CC=C(CCCCCC)O6)O5)=C(N=C(C7=CC=C(C8=CC=C(CCCCCC)S8)S7)O9)C9=C4C%10=CC=C(C%11=CC=C(CCCCCC)O%11)O%10,ClC(Cl)Cl,549.0
9,CCCCCCC(S1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C5=CC=C(CCCCCC)O5)O4)=C(N=C(C6=CC=C(CCCCCC)S6)O7)C7=C3C8=CC=C(C9=CC=C(CCCCCC)O9)O8,ClC(Cl)Cl,524.0
0,CCCCCCC(S1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C(C)(C)C)C=C4)=C(N=C(C5=CC=C(CCCCCC)S5)O6)C6=C3C7=CC=C(C(C)(C)C)C=C7,ClC(Cl)Cl,432.0
4,CC1=NC2=C(C#C[Si](C)(C)C)C(OC(C)=N3)=C3C(C#C[Si](C)(C)C)=C2O1,C1CCOC1,362.0
16,CCC1=NC2=C(C3=CC=C(CCCCCC)S3)C4=C(C(C5=CC=C(CCCCCC)S5)=C2O1)N=C(O4)CC,ClC(Cl)Cl,409.0
17,CCCCCCC(C1=C2C=CC=C1)(CCCCCC)C3=C2C=CC(C4=C5C(N=C(C6=C(F)C(F)=C(F)C(F)=C6F)O5)=C(C7=CC(C(CCCCCC)(CCCCCC)C8=C9C=CC=C8)=C9C=C7)C%10=C4N=C(C%11=C(F)C(F)=C(F)C(F)=C%11F)O%10)=C3,ClC(Cl)Cl,486.0
5,CCCCCCC(O1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C(C)(C)C)C=C4)=C(N=C(C5=CC=C(CCCCCC)O5)O6)C6=C3C7=CC=C(C(C)(C)C)C=C7,ClC(Cl)Cl,413.0
13,CC(C)(C)C(C=C1)=CC=C1C(O2)=NC3=C2C=C(N=C(C4=CC=C(C(C)(C)C)C=C4)O5)C5=C3,ClC(Cl)Cl,396.0
11,CCC1=NC2=C(C3=CC=CC=C3)C4=C(N=C(CC)O4)C(C5=CC=CC=C5)=C2O1,C1CCOC1,372.0
1,CCCCCCC(S1)=CC=C1C2=C3C(N=C(C4=CC=C(C5=CC=C(CCCCCC)S5)S4)O3)=C(C6=CC=C(CCCCCC)S6)C7=C2N=C(C8=CC=C(C9=CC=C(CCCCCC)S9)S8)O7,ClC(Cl)Cl,498.0
2,CCCCCCC(O1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C5=CC=C(CCCCCC)S5)S4)=C(N=C(C6=CC=C(CCCCCC)O6)O7)C7=C3C8=CC=C(C9=CC=C(CCCCCC)S9)S8,ClC(Cl)Cl,509.0
30,CCCCCCC(O1)=CC=C1C(O2)=NC3=C2C(C4=CC=C(C5=CC=C(CCCCCC)O5)O4)=C(N=C(C6=CC=C(CCCCCC)O6)O7)C7=C3C8=CC=C(C9=CC=C(CCCCCC)O9)O8,ClC(Cl)Cl,519.0
