row_idx,smiles,solvent,peakwavs_max
1954,COC(=O)c1ccn2c(NC3CCCCC3)c(/C(C)=C/c3ccccc3)nc2c1,CS(C)=O,392.0
1955,COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(N(C)C)cc3)nc2c1,CS(C)=O,434.0
1956,COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,414.0
1490,CN(C)c1ccc(-n2nc(C(=O)c3ccccc3)c(-c3ccccc3)n2)cc1,C1CCOC1,335.0
3336,O=C(c1ccccc1)c1nn(-c2ccccc2)nc1-c1ccccc1,CO,263.0
2179,COc1ccc(-n2nc(C(=O)c3ccccc3)c(-c3ccccc3)n2)cc1,C1CCOC1,297.0
3335,O=C(c1ccccc1)c1nn(-c2ccccc2)nc1-c1ccccc1,C1CCOC1,330.0
2251,COc1ccc(N(c2ccc(C#Cc3cc(C#N)c(C#Cc4cc(C#N)ccc4C#N)cc3C#N)cc2)c2ccc(OC)cc2)cc1,ClC(Cl)Cl,498.0
3154,N#Cc1ccc(C#N)c(C#Cc2cc(C#N)c(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2C#N)c1,ClC(Cl)Cl,479.0
3155,N#Cc1ccc(C#N)c(C#Cc2ccc(C#Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C#N)c2)c1,ClC(Cl)Cl,432.0
3158,N#Cc1ccc(N(c2ccc(C#N)cc2)c2ccc(C#Cc3cc(C#N)c(C#Cc4cc(C#N)ccc4C#N)cc3C#N)cc2)cc1,ClC(Cl)Cl,426.0
3129,N#Cc1cc(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)cc1C#Cc1ccccc1,ClC(Cl)Cl,452.0
3164,N#Cc1ccccc1C#Cc1cc(C#N)c(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1C#N,ClC(Cl)Cl,464.0
3165,N#Cc1ccccc1C#Cc1ccc(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)c1,ClC(Cl)Cl,420.0
1958,COC(=O)c1ccn2c(NCC(=O)OC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,410.0
908,CCCN(CCC)C(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,413.0
1939,COC(=O)c1ccn2c(NC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,416.0
1940,COC(=O)c1ccn2c(NC(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,413.0
1878,COC(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,411.0
1576,CN(C)c1ccc2c(-c3ccc4c(c3)OCO4)c3ccc(=[NH2+])cc-3n(C)c2c1,O,485.0
2141,COc1ccc(-c2ccc3c(c2)sc2[n+]3[B-](F)(F)OC(c3ccc(N(C)C)cc3)=N2)cc1,C1CCOC1,431.0
2142,COc1ccc(-c2ccc3c(c2)sc2[n+]3[B-](F)(F)OC(c3ccc(N(C)C)cc3)=N2)cc1,CC#N,431.0
2143,COc1ccc(-c2ccc3c(c2)sc2[n+]3[B-](F)(F)OC(c3ccc(N(C)C)cc3)=N2)cc1,CC(C)=O,432.0
2144,COc1ccc(-c2ccc3c(c2)sc2[n+]3[B-](F)(F)OC(c3ccc(N(C)C)cc3)=N2)cc1,Cc1ccccc1,431.0
2145,COc1ccc(-c2ccc3c(c2)sc2[n+]3[B-](F)(F)OC(c3ccc(N(C)C)cc3)=N2)cc1,ClCCl,437.0
1513,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C#N)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,C1CCOC1,431.0
1514,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C#N)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC#N,432.0
1515,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C#N)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC(C)=O,432.0
1516,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C#N)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,Cc1ccccc1,434.0
1517,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C#N)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,436.0
1518,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C(F)(F)F)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,C1CCOC1,430.0
1519,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C(F)(F)F)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC#N,430.0
1520,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C(F)(F)F)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC(C)=O,430.0
1521,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C(F)(F)F)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,Cc1ccccc1,431.0
1522,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(C(F)(F)F)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,434.0
1523,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(N(C)C)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,C1CCOC1,433.0
1524,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(N(C)C)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC#N,435.0
1525,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(N(C)C)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC(C)=O,436.0
1526,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(N(C)C)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,Cc1ccccc1,430.0
1527,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccc(N(C)C)cc5)ccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,438.0
1528,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccccc5)ccc4[n+]3[B-](F)(F)O2)cc1,C1CCOC1,430.0
1529,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccccc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC#N,430.0
1530,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccccc5)ccc4[n+]3[B-](F)(F)O2)cc1,CC(C)=O,430.0
1531,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccccc5)ccc4[n+]3[B-](F)(F)O2)cc1,Cc1ccccc1,430.0
1532,CN(C)c1ccc(C2=Nc3sc4cc(-c5ccccc5)ccc4[n+]3[B-](F)(F)O2)cc1,ClCCl,432.0
624,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,C1CCOC1,441.0
625,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,C1COCCO1,438.0
626,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,CC#N,431.0
627,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,CC(C)=O,435.0
628,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,CCCCCC,441.0
629,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,CO,439.0
630,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(C#Cc3ccc(C#Cc4ccc5c(c4)C(CCCCCCCC)(CCCCCCCC)c4ccccc4-5)c4nsnc34)cc21,Cc1ccccc1,441.0
496,CC1=CC(C)(C)Nc2ccc3c(-c4ccc(CN5CCC6(CC5)OCCO6)cc4)c4ccc(=[NH2+])cc-4oc3c21,O,535.0
288,CC(C)(C)c1cc(/C=C/C=C2\N(CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)c2ccc(N)cc2[o+]1,CCO,623.0
1199,CCN(CCCS(=O)(=O)[O-])c1ccc2c(/C=C/C=C3\N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)cc(C(C)(C)C)[o+]c2c1,CCO,638.0
286,CC(C)(C)c1cc(/C=C/C=C2\N(CCCCCC(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)c2ccc(N)cc2[o+]1,CCO,623.0
1200,CCN(CCCS(=O)(=O)[O-])c1ccc2c(/C=C/C=C3\N(CCCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c2c1,CCO,636.0
