row_idx,smiles,solvent,peakwavs_max
10056,Cc1ccc(/C=N/c2cc(C(C)C)c(O)cc2C)cc1,O,346.0
14739,c1ccc2nc3cccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3cc2c1,CC#N,358.0
8295,COc1ccc(/C=C/c2ncc(-c3ccccc3)o2)cc1OC,ClCCl,355.0
14340,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1,C1CCCCC1,411.0
2514,CCC1=C(C)C2=C(c3c(C)cc(C)nc3-c3cccs3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClC(Cl)(Cl)Cl,534.0
10464,Cc1cccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)c1,ClC(Cl)Cl,429.0
5973,CN(C)c1ccc(/C=C2/N=C(c3ccccc3)OC2=O)cc1,C1CCCCC1,456.0
10501,Cc1cccc2nc3c(=O)[nH]c(=O)[nH]c3nc12,CO,382.0
4953,CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4c5c6c(cc4c3oc-2c1)CCCN6CCC5,ClC(Cl)Cl,623.0
14644,c1ccc2c(c1)[nH]c1cccnc12,C1CCCCC1,336.0
9941,Cc1ccc(-c2ccc3ccc4cc(C(C)(C)C)cc5ccc2c3c45)cc1,C1CCOC1,342.0
5140,CCc1ccc(-n2c3ccccc3c3cc4c(cc32)c2ccccc2n4-c2ccc(CC)cc2)cc1,ClC(Cl)Cl,409.0
5340,CCn1c2ccccc2c2ccc(-n3c4ccccc4c4ccccc43)cc21,C1CCOC1,339.0
8580,COc1ccc(N(c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,Cc1ccccc1,397.0
3940,CCN(CC)c1ccc(/C=C/C(=O)c2c(O)cc(C)oc2=O)cc1,ClCCl,480.0
6434,CN(C)c1ccc2nc(/C=C/c3ccccc3)c(=O)oc2c1,CN(C)C=O,469.0
3301,CCCCCCOc1ccc(C#Cc2ccc(-c3ccc(-c4ccc(C#Cc5ccc(OCCCCCC)c(OCCCCCC)c5)s4)c4nsnc34)s2)cc1OCCCCCC,ClC(Cl)Cl,504.0
3931,CCN(CC)c1ccc(-n2c(C)ccc2C)cc1,CC#N,304.0
14110,c1ccc(-c2cc(-c3ccc(N4c5ccccc5C(c5ccccc5)(c5ccccc5)c5ccccc54)cc3)nc(-c3ccccc3)n2)cc1,Cc1ccccc1,368.8811189
214,C(=C/c1ccc(N(c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(-c3nc4ccccc4nc3-c3ccc(N(c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)c4ccc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4)cc3)cc2)cc1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,375.0
5297,CCn1c2ccccc2c2cc(/C=C3\C(=O)c4ccccc4S3(=O)=O)ccc21,C1CCOC1,446.0
10572,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,CO,346.0
13312,O=[N+]([O-])c1ccc(NCCN(Cc2c3ccccc3cc3ccccc23)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,CO,369.0
6617,CN1C(=O)c2cccc3c(-n4c5ccccc5c5ccccc54)ccc(c23)C1=O,C1CCOC1,408.0
4065,CCN(CC)c1ccc2c(C#N)c(/C=C(\C#N)c3nc4ccccc4s3)c(=O)oc2c1,CC#N,597.0
12990,O=Cc1c(O)c(-c2nc3ccccc3s2)cc2ccccc12,Cc1ccccc1,358.0
4717,CCOC(=O)COc1ccc(/C=C/c2c(CC)c(C)c3n2[B-](F)(F)[N+]2=C(c4[nH]c(C)c(CC)c4C)c4ccccc4C2=C3C)cc1,C1CCOC1,675.0
13306,O=[N+]([O-])c1ccc(NCCN(Cc2c3ccccc3cc3ccccc23)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,C1CCCCC1,355.0
12745,O=C1OC(c2ccccc2)=N/C1=C\c1ccc(N(c2ccc(/C=C3\N=C(c4ccccc4)OC3=O)cc2)c2ccc(/C=C3/N=C(c4ccccc4)OC3=O)cc2)cc1,CCCCC,489.0
675,CC(=O)c1ccc(/C=C/C=C/C2=NC3C(=O)NC(N)=NC3N2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,CC#N,392.0
13895,[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,ClCCl,445.0
1845,CC1=C2c3ccccc3C(c3[nH]c(C)cc3C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,CO,593.0
4574,CCOC(=O)C(C(=O)OCC)C1=[N+]2C(=C(c3ccc(C)cc3)c3ccc(C(C(=O)OCC)C(=O)OCC)n3[B-]2(F)F)C=C1,CCOC(C)=O,510.0
11409,N#CC(C#N)=C(c1cccc(N(c2ccccc2)c2ccccc2)c1)c1cccc(N(c2ccccc2)c2ccccc2)c1,CC(C)=O,371.4285714
7865,COc1cc2cc(OC)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1C#Cc1ccc([N+](=O)[O-])cc1,ClC(Cl)Cl,362.0
6182,CN(C)c1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,COC(C)=O,468.0
12316,O=C(O)CCCCCn1c2ccccc2c(=O)c2cc(Br)ccc21,O,439.0
3270,CCCCCCOC(=O)/C=C/C1=CC2=C(c3c(C)cc(C)cc3C)c3cc(/C=C/C(=O)OCCCCCC)cn3[B-](F)(F)[N+]2=C1,ClCCl,579.0
7305,COCCC1(CCOC)c2cc(-c3ccc(OC)cc3)ccc2-c2ccc(-c3ccc(OC)cc3)cc21,C1CCCCC1,321.0
4251,CCN(CC)c1ccc2cc(/C=C/C(O)=C/C(C)=O)c(=O)oc2c1,CO,458.0
4530,CCOC(=O)/C(C#N)=C\c1ccc2c(c1)c1ccccc1n2-c1ccc(OC)cc1,CO,393.0
5739,CN(C)c1ccc(/C=C/C=C2\CC/C(=C\C=C\c3ccc(N(C)C)cc3)C2=O)cc1,CCOC(C)=O,480.0
6279,CN(C)c1ccc2c(c1)C(=O)NC2=O,CC#N,388.0
13714,Oc1ccc2ccccc2c1-c1nc(-c2ccccc2)c2ccccn12,CO,343.0
3918,CCN(CC)c1ccc(-c2nc3c(nc2-c2ccc([B-](F)(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)cc2)c2ccccc2n3C)cc1,C1CCOC1,414.7495362
13618,O[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,402.0
10092,Cc1ccc(C(=O)/C=C2\C(=O)Nc3ccccc32)cc1C,C1COCCO1,335.0
1172,CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4c(Br)ccc2c43)=C1C#N,CCCCCC,542.0
5808,CN(C)c1ccc(/C=C/c2cc[n+](CCCCCCCCCCCC[n+]3ccc(/C=C/c4ccc(N(C)C)cc4)cc3)cc2)cc1,CC#N,473.0010974
11840,N#Cc1cccc(C#N)c1N,CCCCCCC,332.0
