row_idx,smiles,solvent,peakwavs_max
468,CCCCCCCCOc1cccc(OCCCCCCCC)c1/C1=C2\C=CC(=N2)/C(C#Cc2ccc(C(=O)O)cc2)=c2/cc/c3n2[Zn]n2c(ccc21)/C(C#Cc1ccc(N(CCCC)CCCC)cc1)=C1/C=CC(=N1)/C=3c1c(OCCCCCCCC)cccc1OCCCCCCCC,C1CCOC1,671.0
126,CC1(C)CCN2CCC(C)(C)c3c2c1cc1cc(/C=C/C=C(/C#N)C(=O)O)c(=O)oc31,CCO,507.0
652,CCCCCCOc1ccc(-n2c3cc(/C=C(\C#N)C(=O)O)sc3c3sc(C4=C5C(C)=CC(C)=[N+]5[B-](F)(F)n5c(C)cc(C)c54)cc32)c(OCCCCCC)c1,ClCCl,519.0
251,CCCCC(CC)Cn1c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)[nH]c4=O)s3)ccc2c2nc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c3nc21,ClCCl,462.0
1607,N#CC(=Cc1ccc(C=Cc2c3ccccc3c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc23)cc1)C(=O)O,ClCCl,418.0
1077,CCCCn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5sc(/C=C(\C#N)C(=O)O)c6c5OCCO6)ccc3n4CCCC)ccc21,C1CCOC1,448.0
273,CCCCC1(CCCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc(/C=C(\C#N)C(=O)O)s5)ccc3-4)cc21,C1CCOC1,366.0
532,CCCCCCCCn1nc2c(-c3ccc(C(=O)O)cc3)c3nc(-c4ccccc4)c(-c4ccccc4)nc3c(-c3ccc(-c4cccc5c4C4C6CCC(C6)C4N5c4ccccc4)s3)c2n1,ClCCl,644.0
1182,CCn1c2ccccc2c2cc(-c3ccc(-c4ccc(-c5ccc(/C=C(/C#N)C(=O)O)s5)s4)s3)ccc21,ClC(Cl)Cl,443.0
987,CCCCO/C1=C2\C=CC(=N2)/C(c2ccccc2)=c2/cc/c3n2[Zn]n2c(ccc21)/C(c1ccccc1)=C1/C=CC(=N1)C=3\C=C(/C#N)C(=O)O,CCO,626.0
