row_idx,smiles,solvent,peakwavs_max
1549,N#C/C(=C\c1ccc2c(c1)-c1cc(N(c3ccccc3)c3ccccc3)ccc1C21c2cc(/C=C(\C#N)C(=O)O)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21)C(=O)O,CC#N,392.0
316,CCCCCCC1=CC(C=O)(/C=C(\C#N)C(=O)O)SC1=c1cc(CCCCCC)c(=C2C=C(CCCCCC)C(c3cc4ccc(N(c5ccc6c(c5)C(C)(C)c5ccccc5-6)c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc4s3)S2)s1,C1CCOC1,430.0
1237,COc1ccc(C2N=C(c3ccc(N(c4ccccc4)c4ccc(C=C(C#N)C(=O)O)cc4)cc3)NC2c2ccc(OC)cc2)cc1,CCO,405.0
1552,N#C/C(=C\c1ccc2c(c1)Oc1ccccc1N2CCCCCCN1c2ccccc2Oc2cc(/C=C(\C#N)C(=O)O)ccc21)C(=O)O,C1CCOC1,476.0
1071,CCCCn1c2ccc(C=C3SC(=O)NC3=O)cc2c2cc(C=C3SC(=O)NC3=O)ccc21,C1CCOC1,388.0
1259,COc1ccc(N(c2ccc(OC)cc2)c2ccc3c(c2)-c2cc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)ccc2C3=Cc2ccc(C=C(C#N)C(=O)O)s2)cc1,ClCCl,548.0
1053,CCCCn1c2ccc(-c3ccc(-c4ccncc4)s3)cc2c2cc(-c3ccc(-c4ccc(C(=O)O)cc4)s3)ccc21,C1COCCO1,378.0
1054,CCCCn1c2ccc(-c3ccc(-c4ccncc4)s3)cc2c2cc(-c3ccc(-c4ccc(O)c(O)c4)s3)ccc21,C1COCCO1,373.0
492,CCCCCCCCc1nc2c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)c2nc1CCCCCCC,ClC(Cl)Cl,516.0
464,CCCCCCCCOc1ccc(N(c2ccc(OCCCCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)c5nccnc45)s3)cc2)cc1,C1CCOC1,540.0
613,CCCCCCOc1c(OCCCCCC)c(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)c2nc(C)c(C)nc2c1-c1ccc(/C=C(\C#N)C(=O)O)s1,ClC(Cl)Cl,477.0
432,CCCCCCCCN1c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)cc4)s3)cc2Sc2cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)ccc21,ClCCl,432.0
723,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5csc6cc([C@H](C#N)C(=O)O)sc56)ccc3N4CCCCCC)cc2)cc1,C1CCOC1,424.0
