row_idx,smiles,solvent,empeakwavs_max
231,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cc4c(s3)-c3sc(-c5ccc6cc(/C=C(/C#N)C(=O)O)c(Cl)nc6c5)cc3C4(CCCCCC)CCCCCC)cc2)cc1,ClCCl,588.0
233,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cc4c(s3)-c3sc(-c5ccc6cc(C(=O)O)c(Cl)nc6c5)cc3C4(CCCCCC)CCCCCC)cc2)cc1,ClCCl,576.0
677,O=C(O)CN1C(=O)/C(=C\c2cc(-c3cccs3)c(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2-c2cccs2)SC1=S,ClCCl,693.0
470,CCn1c(-c2ccc3c(c2)C(CC)(CC)c2cc(-c4ccc(/C=C(\C#N)C(=O)O)s4)ccc2-3)nc(-c2ccccc2)c1-c1ccccc1,C1CCOC1,558.0
425,CCN(CC)c1ccc(C=C(C#N)c2nc3ccc(C(=O)O)cc3[nH]2)cc1,CN(C)C=O,474.0
134,CCCCCCCCCCCCN1c2ccccc2Sc2cc(-c3ccc(-c4ccc5c(c4)Sc4cc(/C=C(\C#N)C(=O)O)ccc4N5CCCCCCCCCCCC)c4nn(CCCCCCCC)nc34)ccc21,CCO,613.0
65,CC1CC(C)(C)N(C)c2ccc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)s3)cc21,CCO,652.0
263,CCCCCCSC1=C(SCCCCCC)SC(=Cc2ccc(-c3ccc(-c4ccncc4)cc3)s2)S1,C1CCOC1,507.0
410,CCCCn1c2ccccc2c2cc(-c3cc(/C=C(/C#N)C(=O)O)c(-c4cc5cc6c7c(c5oc4=O)C(C)(C)CCN7CCC6(C)C)s3)ccc21,ClC(Cl)Cl,714.0
294,CCCCCCc1ccc(-c2ccc(-c3ccc4c(c3)Oc3cc(C=C(C#N)C(=O)O)ccc3N4CCCCCC)s2)s1,C1CCOC1,602.0
520,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-n3cc(SC#N)c4cc(-c5cc(C)c(/C=C(\C#N)C(=O)O)s5)ccc43)cc2)cc1,ClC(Cl)Cl,606.0
521,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-n3ccc4cc(-c5cc(C)c(/C=C(\C#N)C(=O)O)s5)ccc43)cc2)cc1,ClC(Cl)Cl,613.0
257,CCCCCCOc1ccc(N2c3ccccc3Sc3cc(-c4ccc5c(c4)Sc4cc(/C=C(\C#N)C(=O)O)ccc4N5c4ccc(OCCCCCC)cc4)ccc32)cc1,ClCCl,662.0
530,Cc1ccc(N2c3ccc(/C=C/c4ccc(C=C(C#N)C(=O)O)s4)cc3[C@@H]3CCC[C@H]32)cc1,C1CCOC1,629.0
599,N#C/C(=C\c1ccc(/C=C/c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)cc1)C(=O)O,C1CCOC1,611.0
552,N#C/C(=C\c1c(F)cc(/C=C/c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)cc1F)C(=O)O,C1CCOC1,611.0
600,N#C/C(=C\c1ccc(/C=C/c2ccc(N(c3ccccc3)c3cccc4ccccc34)cc2)cc1F)C(=O)O,C1CCOC1,600.0
689,O=C(O)c1cc2c(cc1C(=O)O)C(=O)C(=Cc1ccc(N(c3ccccc3)c3ccccc3)cc1)C2=O,C1CCOC1,633.0
229,CCCCCCOc1ccc(N(c2ccc(C=C3C(=O)c4cc(C(=O)O)c(C(=O)O)cc4C3=O)cc2)c2ccc(OCCCCCC)cc2)cc1,C1CCOC1,645.0
674,O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)C2CCCC2N3c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)SC1=S,ClC(Cl)Cl,621.0
77,CCC1(CC)c2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(N(c6ccccc6)c6cccc7ccccc67)ccc4-5)s3)cc21,C1CCOC1,512.0
147,CCCCCCCCCCc1nc(-c2nc(CCCCCCCCC)c(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)sc1-c1ccc(N(c2ccccc2)c2ccc(C)cc2)cc1,C1CCOC1,560.0
150,CCCCCCCCCc1nc(-c2nc(CCCCCCCCC)c(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)sc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,560.0
478,CN(CCO[Si](C)(C)C(C)(C)C)c1ccc(-c2ccc(-c3ccc(C=C(C#N)C(=O)O)cc3)c3nsnc23)cc1,C1CCOC1,617.0
482,CN1/C(=C/C=C/C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2cc(CC(=O)O)ccc21,CCO,665.0
536,Cn1cccc1-c1cc2sc(C=C(C#N)C(=O)O)cc2s1,CCO,471.0
189,CCCCCCN1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2Sc2cc(-c3ccc(/C=C(/C#N)C(=O)O)s3)ccc21,C1CCOC1,608.0
72,CC1CC(C)(C)N(C)c2ccc(C=Cc3ccc(C=C(C#N)P(=O)(O)O)s3)cc21,CCO,611.0
71,CC1CC(C)(C)N(C)c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc21,CCO,647.0
53,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)Sc3cc(-c5ccc(C#Cc6cc(-c7cccnc7)cc(-c7cccnc7)c6)s5)ccc3N4c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,CN(C)C=O,558.0
120,CCCCCCCCC1(CCCCCCCC)c2cc(/C=C(/C#N)C(=O)O)ccc2-c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,ClCCl,612.0
690,O=C(O)c1ccc(-c2c3nc(c(-c4ccccc4)c4ccc([nH]4)c(-c4ccccc4)c4nc(c(-c5ccccc5)c5ccc2[nH]5)C=C4)C=C3)cc1,ClC(Cl)Cl,652.0
474,CN(C)c1ccc(-c2c3nc(c(-c4ccc(C(=O)O)cc4)c4ccc([nH]4)c(-c4ccc(N(C)C)cc4)c4nc(c(-c5ccc(C(=O)O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,CN(C)C=O,680.0
