row_idx_in_train,smiles,solvent,empeakwavs_max
158,CCCCCCOc1c2ccccc2c(OCCCCCC)c2cc(N(c3ccccc3)c3ccc4c(c3)Sc3cc(/C=C(\C#N)C(=O)O)ccc3N4CCCCCC)ccc12,C1CCOC1,559.0
451,CCCCCCCCN(CCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(/C=C(/C#N)C(=O)O)cc3)c3ccccc23)cc1,C1CCOC1,615.0
55,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cc4sc(/C=C(\C#N)C(=O)O)cc4s3)cc2)cc1,C1CCOC1,615.0
247,CCCCCCCCCCCCN1c2ccccc2Oc2cc(/C=C(\C#N)C(=O)O)ccc21,ClCCl,610.0
70,CCCCCCOc1ccc(-n2c3cc(/C=C(\C#N)C(=O)O)sc3c3sc(C4=C5C(C)=CC(C)=[N+]5[B-](F)(F)n5c(C)cc(C)c54)cc32)c(OCCCCCC)c1,ClCCl,538.0
376,CCN1c2ccccc2Sc2cc(/C=C(\C#N)C(=O)O)ccc21,C1CCOC1,586.0
382,CC1CC(C)(C)N(Cc2ccccc2)c2ccc(C=Cc3ccc(C=C(C#N)C(=O)O)s3)cc21,CCO,635.0
81,CCCCCCOc1ccc(-c2ccc(N(c3ccc(-c4ccc(OCCCCCC)cc4OCCCCCC)cc3)c3ccc4c(c3)sc3cc(-c5ccc(C=C(C#N)C(=O)O)s5)sc34)cc2)c(OCCCCCC)c1,C1CCOC1,625.0
516,CC1CC(C)(C)N(C)c2ccc(C=Cc3ccc(C=Cc4ccc(C=C(C#N)C(=O)O)s4)s3)cc21,CCO,656.0
144,CCCCCCCCCCOc1cc2cc(C#Cc3ccc(/C=C(\C#N)C(=O)O)cc3)c(=O)oc2cc1OCCCCCCCCCC,CC#N,470.0
218,N#CC(=Cc1ccc(-c2c(F)c(F)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3n[nH]nc23)s1)C(=O)O,C1CCOC1,584.0
76,N#C/C(=C\c1ccc(C#Cc2c3ccccc3c(-c3ccc(N(c4ccccc4)c4ccccc4)s3)c3ccccc23)s1)C(=O)O,CCO,527.0
375,COc1ccc(N2c3ccccc3Oc3cc(/C=C(\C#N)C(=O)O)ccc32)cc1,C1CCOC1,555.0
199,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)cc1,ClC(Cl)Cl,589.0
137,CCCCCCN1c2ccc(/C=C(\C#N)C(=O)O)cc2Sc2cc(-c3ccc(C=C(c4ccc(-n5c6ccccc6c6ccccc65)cc4)c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)ccc21,ClCCl,537.0
