row_idx_in_train,smiles,solvent,empeakwavs_max
158,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(C=C(C#N)C(=O)O)cc5)cc4n(-c4ccc(C(F)(F)F)cc4)c3c2)cc1,ClCCl,545.0
450,CCN(CC)c1ccc(C=C(C#N)c2ccc(C=CC(=O)O)s2)cc1,CN(C)C=O,550.0
55,N#C/C(=C\c1ccc2c(c1)Sc1ccccc1N2CCCCCCN1c2ccccc2Sc2cc(/C=C(\C#N)C(=O)O)ccc21)C(=O)O,C1CCOC1,583.0
247,O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccc(-c4ccc(-c5cc6c7c(c5)CCCN7CCC6)cc4)s3)s2)SC1=S,CCO,581.0
70,CCCCCCn1c2ccccc2c2cc(-c3ccc(C=C4C(=O)NC(=O)NC4=O)cc3)ccc21,ClC(Cl)Cl,578.0
375,CC1(C)c2cc(-c3ccncc3)cc3c2N2c4c1cc(-c1ccncc1)cc4C(C)(C)c1cc(-c4ccncc4)cc(c12)C3(C)C,ClCCl,439.0
381,CCn1c2ccccc2c2cc(C=C(C#N)C(=O)O)ccc21,CC#N,504.0
81,CCCCCCCCCCC1(CCCCCCCC)C(/C=C2/C(=O)C(/C=C3\N(C)c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)cc4C3(C)C)=C2[O-])=[N+](CCCCCC)c2ccccc21,ClC(Cl)Cl,675.0
515,CCCCCCc1cc(/C=C(/C#N)C(=O)O)sc1-c1ccc2c(c1)C1CCCC1N2c1ccc(C=C(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,653.0
144,CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)cc3)cc2)cc1,C1CCOC1,603.0
218,O=C(O)/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,CCO,452.0
76,CCCCN(CCCC)c1ccc([C+]2C([O-])[C+](c3ccc(N(C)CCOC(=O)CCC(=O)Oc4ccc5c(=C(C#N)C#N)c6cc(O)ccc6c(=C(C#N)C#N)c5c4)cc3)C2[O-])cc1,ClC(Cl)Cl,655.0
338,CCCCCCc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(CCCCCC)s4)ccc2n3-c2ccc3c(c2)C(CCCCCC)(CCCCCC)c2cc(/C=C(\C#N)c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)s4)ccc2-3)s1,ClCCl,597.0
199,CCCCCCn1c2ccccc2c2cc(/C=C(/C#N)c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,ClC(Cl)Cl,630.0
137,CCCCCCOc1ccc(-c2ccc3c(c2)Sc2cc(/C=C(\C#N)C(=O)O)ccc2N3c2ccc(OCCOCCOCCOC)cc2)cc1,C1CCOC1,614.0
163,CCCCCCN1c2ccc(/C=C3\SC(=S)N(CC(=O)O)C3=O)cc2Sc2cc(-c3ccc(C)cc3)ccc21,ClCCl,655.0
132,CCCCCCCCCCCCN(c1ccc(-c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)s2)cc1)c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc1,ClCCl,630.0
10,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-n3cc(SC#N)c4cc(-c5cc(C)c(/C=C(\C#N)C(=O)O)s5)ccc43)cc2)cc1,ClC(Cl)Cl,606.0
78,CCCCCCSC1=C(SCCCCCC)SC(=C(C(=C2SC(SCCCCCC)=C(SCCCCCC)S2)c2ccc(-c3ccc(-c4ccncc4)cc3)s2)c2ccc(-c3ccc(-c4ccncc4)cc3)s2)S1,C1CCOC1,506.0
310,N#C/C(=C\c1ccc(-c2ccc(-c3cc4c5ccccc5n5c6ccccc6c(c3)c45)cc2)cc1)C(=O)O,ClCCl,553.0
238,CCCCCCCCCCCC[C@@H](CCCCCCCCCC)CN1c2ccc(C#N)cc2Sc2cc(/C=C3\SC(=S)N(CC(=O)O)C3=O)ccc21,ClCCl,630.0
165,CC1(C)C(c2ccc(/C=C(\C#N)C(=O)O)cc2)=Nc2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCOC1,608.0
6,CC1CC(C)(C)N(C)c2ccc(-c3ccc(-c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)s4)s3)cc21,CCO,652.0
177,CCN(CC)c1ccc2c(c1)OC1=NC(c3ccc(O)c(C(=O)O)c3)n3c(nc4ccccc43)C1=C2,CS(C)=O,501.0
261,N#C/C(=C\c1cc(C#N)c(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1C#N)C(=O)O,ClCCl,682.0
